reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_id,sentimen,Cleaning,HapusEmoji,3/Lebih,CaseFolding,Tokenizing,Formalisasi,tokens_akhir
33fe6290-c562-4a49-a253-e0f8194990aa,Febisafitri Safitri,https://play-lh.googleusercontent.com/a/ACg8ocLXLz7bqQ0iUh3hyNkXQzUqFKPreupBMDMC9KaRu6grQmOWYw=mo,puas dengan pelayann,5,0,3.29.0,2025-12-14 13:43:08,,,3.29.0,id.co.bankbkemobile.digitalbank,Positif,puas dengan pelayann,puas dengan pelayann,puas dengan pelayann,puas dengan pelayann,"['puas', 'dengan', 'pelayann']","['puas', 'dengan', 'pelayann']","['puas', 'pelayann']"
b53f4053-b908-48e7-ad46-9d3e5dc863ab,Azfar 17,https://play-lh.googleusercontent.com/a/ACg8ocKunVqYWmjbvjjKRgMwFphYsFap7ve2yGScceLcfwrg1ANqSA=mo,belum dapet pinjaman ini,5,0,3.33.0,2025-12-14 13:42:24,"Hai Sobat SeaBank. Maaf atas ketidaknyamanannya, fitur SeaBank Pinjam saat ini hanya bisa digunakan oleh Nasabah SeaBank terpilih. Untuk pengecekan lebih lanjut, silakan hubungi CS SeaBank di nomor telepon 1500130 atau live chat pada Aplikasi SeaBank. Semoga penggunaan SeaBank kamu berjalan lancar. Terima kasih 🙏",2025-12-14 16:26:00,3.33.0,id.co.bankbkemobile.digitalbank,Positif,belum dapet pinjaman ini,belum dapet pinjaman ini,belum dapet pinjaman ini,belum dapet pinjaman ini,"['belum', 'dapet', 'pinjaman', 'ini']","['belum', 'dapat', 'pinjaman', 'ini']",['pinjam']
83e7b109-495e-4942-a29a-dbfde2dc9d8c,Ardi Setyawan,https://play-lh.googleusercontent.com/a/ACg8ocI-8lzBeOcNYoA9yqOEMbF9IXwxlYIKbbQWXYCjpdLbBzfVUw=mo,mantap betul,5,0,3.33.0,2025-12-14 13:42:08,,,3.33.0,id.co.bankbkemobile.digitalbank,Positif,mantap betul,mantap betul,mantap betul,mantap betul,"['mantap', 'betul']","['mantap', 'betul']","['mantap', 'betul']"
a5193ef1-2aff-4383-bfef-489db8f20a34,jpanise Jpn,https://play-lh.googleusercontent.com/a/ACg8ocJvF5Xa0vlDLiCV6lMd5oTvaKvPLb99ktzyZSddr3ik0m1X3Q=mo,ok,5,0,3.33.0,2025-12-14 13:40:48,,,3.33.0,id.co.bankbkemobile.digitalbank,Positif,ok,ok,ok,ok,['ok'],['ok'],[]
232d787e-3800-445b-a754-c01f76190b85,arlega chanel,https://play-lh.googleusercontent.com/a-/ALV-UjXU8iakhcj69MLC7FIsPW3AWG446Bpfao0FB0uhkHzBduP_qSBY,terima kasih sudah melayani dengan baik.,5,0,3.33.0,2025-12-14 13:39:00,,,3.33.0,id.co.bankbkemobile.digitalbank,Positif,terima kasih sudah melayani dengan baik.,terima kasih sudah melayani dengan baik.,terima kasih sudah melayani dengan baik.,terima kasih sudah melayani dengan baik.,"['terima', 'kasih', 'sudah', 'melayani', 'dengan', 'baik', '.']","['terima', 'kasih', 'sudah', 'melayani', 'dengan', 'baik', '.']","['terima', 'kasih', 'layan', 'baik', '']"
80827cd1-538e-4e64-9b81-fcc666f02766,Yanto Hermawan,https://play-lh.googleusercontent.com/a-/ALV-UjW-9UHRt3YG81O45aZFVnkQb66557kfWS2vA5HnzYBAWZGrpls,"Bank Digital terbaik menurut saya "" blu_Bca Digital "" bank digital paling berbobot dan stabil,, fitur keamanan yang saya inginkan yaitu..klw kita transfer dalam jumlah besar itu harus pakai face id, Keamanan tetap No.1 Trimakasih",5,0,2.7.0,2025-12-14 13:36:49,"Hai, Kak Yanto. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",2025-12-14 14:29:11,2.7.0,com.bcadigital.blu,Positif,"Bank Digital terbaik menurut saya "" blu_Bca Digital "" bank digital paling berbobot dan stabil,, fitur keamanan yang saya inginkan yaitu..klw kita transfer dalam jumlah besar itu harus pakai face id, Keamanan tetap No.1 Trimakasih","Bank Digital terbaik menurut saya "" blu_Bca Digital "" bank digital paling berbobot dan stabil,, fitur keamanan yang saya inginkan yaitu..klw kita transfer dalam jumlah besar itu harus pakai face id, Keamanan tetap No.1 Trimakasih","Bank Digital terbaik menurut saya "" blu_Bca Digital "" bank digital paling berbobot dan stabil,, fitur keamanan yang saya inginkan yaitu..klw kita transfer dalam jumlah besar itu harus pakai face id, Keamanan tetap No.1 Trimakasih","bank digital terbaik menurut saya "" blu_bca digital "" bank digital paling berbobot dan stabil,, fitur keamanan yang saya inginkan yaitu..klw kita transfer dalam jumlah besar itu harus pakai face id, keamanan tetap no.1 trimakasih","['bank', 'digital', 'terbaik', 'menurut', 'saya', '``', 'blu_bca', 'digital', '``', 'bank', 'digital', 'paling', 'berbobot', 'dan', 'stabil', ',', ',', 'fitur', 'keamanan', 'yang', 'saya', 'inginkan', 'yaitu', '..', 'klw', 'kita', 'transfer', 'dalam', 'jumlah', 'besar', 'itu', 'harus', 'pakai', 'face', 'id', ',', 'keamanan', 'tetap', 'no.1', 'trimakasih']","['bank', 'digital', 'terbaik', 'menurut', 'saya', '``', 'blu_bca', 'digital', '``', 'bank', 'digital', 'paling', 'berbobot', 'dan', 'stabil', ',', ',', 'fitur', 'keamanan', 'yang', 'saya', 'inginkan', 'yaitu', '..', 'kalau', 'kita', 'transfer', 'dalam', 'jumlah', 'besar', 'itu', 'harus', 'pakai', 'face', 'id', ',', 'keamanan', 'tetap', 'no.1', 'trimakasih']","['bank', 'digital', 'baik', '', 'blu bca', 'digital', '', 'bank', 'digital', 'paling', 'bobot', 'stabil', '', '', 'fitur', 'aman', 'ingin', '', 'transfer', 'jumlah', 'besar', 'pakai', 'face', 'id', '', 'aman', 'tetap', 'no 1', 'trimakasih']"
2fc18ee5-02e5-4ff4-afad-fb34313c6fb8,Jenny Setiawan,https://play-lh.googleusercontent.com/a/ACg8ocJ_iZt9yZyXxS2oOBSrqU8ex2k_sgevemreR7RvvVVEbm2h=mo,josss,5,0,3.29.0,2025-12-14 13:36:11,,,3.29.0,id.co.bankbkemobile.digitalbank,Positif,josss,josss,jos,jos,['jos'],['jos'],['jos']
5a56e416-9fc8-433d-9906-0dbed7e6c4bf,Mario Adjie,https://play-lh.googleusercontent.com/a-/ALV-UjW-1FOUVCvSrjqEtcL2wzX4s9fODHmxvhYY8GfLxZhjhxIPLk52,"tolong seabank, patahkan rumor yang beredar kalo aplikasi kalian buruk & tidak bagus!",4,0,3.33.0,2025-12-14 13:33:35,"Hai Sobat SeaBank, kamu jangan khawatir. SeaBank sudah terdaftar dan diawasi oleh Otoritas Jasa Keuangan (OJK) serta merupakan bank peserta penjaminan Lembaga Penjamin Simpanan (LPS), dipastikan aman menabung di SeaBank. Segala tindakan kami sesuai peraturan bank. Kami juga dengan sepenuh hati menjaga reputasi bank. Semoga informasinya membantu 😊",2025-12-14 16:20:11,3.33.0,id.co.bankbkemobile.digitalbank,Positif,"tolong seabank, patahkan rumor yang beredar kalo aplikasi kalian buruk & tidak bagus!","tolong seabank, patahkan rumor yang beredar kalo aplikasi kalian buruk & tidak bagus!","tolong seabank, patahkan rumor yang beredar kalo aplikasi kalian buruk & tidak bagus!","tolong seabank, patahkan rumor yang beredar kalo aplikasi kalian buruk & tidak bagus!","['tolong', 'seabank', ',', 'patahkan', 'rumor', 'yang', 'beredar', 'kalo', 'aplikasi', 'kalian', 'buruk', '&', 'tidak', 'bagus', '!']","['tolong', 'seabank', ',', 'patahkan', 'rumor', 'yang', 'beredar', 'kalo', 'aplikasi', 'kalian', 'buruk', '&', 'tidak', 'bagus', '!']","['seabank', '', 'patah', 'rumor', 'edar', 'aplikasi', 'kalian', 'buruk', '', 'bagus', '']"
a5136045-ed6f-4716-b0bc-e083ccb6d244,rian hamdani,https://play-lh.googleusercontent.com/a/ACg8ocK84AMkdJhYiNS1FrKCQUUMiAkIB3HyoxUQ3Ux2O-jBIW707Q=mo,kerennn,5,0,8.77.3,2025-12-14 13:31:20,,,8.77.3,com.jago.digitalBanking,Positif,kerennn,kerennn,keren,keren,['keren'],['keren'],['keren']
ce45c2a1-5ff4-4ebc-bc00-e4636f0ab32a,Leni marlina,https://play-lh.googleusercontent.com/a/ACg8ocLWM-S2OpVDeyzM7l2iAypF4dQTM_1S8VR52__0XNp4ja-Suw=mo,"menurutku sea bank aman2 aja dan transaksi jg cepat,semoga terus seperti ini☺",5,0,3.33.0,2025-12-14 13:30:54,,,3.33.0,id.co.bankbkemobile.digitalbank,Positif,"menurutku sea bank aman2 aja dan transaksi jg cepat,semoga terus seperti ini☺","menurutku sea bank aman2 aja dan transaksi jg cepat,semoga terus seperti ini","menurutku sea bank aman2 aja dan transaksi jg cepat,semoga terus seperti ini","menurutku sea bank aman2 aja dan transaksi jg cepat,semoga terus seperti ini","['menurutku', 'sea', 'bank', 'aman2', 'aja', 'dan', 'transaksi', 'jg', 'cepat', ',', 'semoga', 'terus', 'seperti', 'ini']","['menurutku', 'sea', 'bank', 'aman2', 'saja', 'dan', 'transaksi', 'juga', 'cepat', ',', 'semoga', 'terus', 'seperti', 'ini']","['turut', 'sea', 'bank', 'aman2', 'transaksi', 'cepat', '', 'moga']"
